Difficulty,Question,Answer
Easy,"What is the process by which plants make their own food using sunlight?","Photosynthesis is the process by which plants convert sunlight, carbon dioxide, and water into glucose and oxygen using chlorophyll in their leaves."
Easy,"Name the three states of matter.","The three states of matter are solid, liquid, and gas. Each state has different properties based on how tightly packed the molecules are."
Easy,"Which planet is closest to the Sun?","Mercury is the planet closest to the Sun in our solar system, orbiting at an average distance of about 36 million miles."
Easy,"What do we call animals that eat only plants?","Herbivores are animals that eat only plants. Examples include rabbits, deer, and cows, which have specialized digestive systems to break down plant material."
Easy,"Which part of the plant absorbs water from the soil?","Roots absorb water and nutrients from the soil. They have tiny root hairs that increase surface area for better absorption and anchor the plant in place."
Easy,"What is the path Earth takes around the Sun called?","Earth's path around the Sun is called an orbit. It takes Earth approximately 365.25 days to complete one full orbit, which we call a year."
Easy,"What gas do we breathe in that our body needs?","We breathe in oxygen, which our body needs for cellular respiration to produce energy from food. Oxygen is essential for all cellular processes that keep us alive."
Easy,"What happens to most of the water that falls as rain?","Most rainwater either soaks into the ground (infiltration) or flows into streams and rivers (runoff), eventually returning to oceans where it can evaporate and continue the water cycle."
Easy,"What do plants need to grow?","Plants need sunlight, water, carbon dioxide, nutrients from soil, and appropriate temperature to grow. These elements are essential for photosynthesis and other life processes."
Easy,"What causes wind?","Wind is caused by uneven heating of Earth's surface by the Sun. Warm air rises and cool air moves in to replace it, creating air movement we feel as wind."
Easy,"What is the center of our solar system?","The Sun is the center of our solar system. It's a star that provides light and heat energy to Earth and other planets through nuclear fusion reactions."
Easy,"What is the biggest planet in our solar system?","Jupiter is the largest planet in our solar system. It's a gas giant with a mass greater than all other planets combined and has many moons including the four largest discovered by Galileo."
Easy,"What do we call animals that eat both plants and meat?","Omnivores are animals that eat both plants and meat. Examples include humans, bears, and pigs, which have digestive systems adapted to process both types of food."
Easy,"What is the hardest natural substance on Earth?","Diamond is the hardest natural substance on Earth. It forms deep underground under extreme pressure and heat, creating its extremely strong crystal structure."
Easy,"Which gas do plants take in during photosynthesis?","Plants take in carbon dioxide during photosynthesis. They absorb it from the air through tiny pores called stomata in their leaves."
Easy,"What is the smallest planet in our solar system?","Mercury is the smallest planet in our solar system. It's only slightly larger than Earth's Moon and has extreme temperature variations."
Easy,"What do we call the layer of gases surrounding Earth?","The atmosphere is the layer of gases surrounding Earth. It contains the air we breathe and protects us from harmful radiation from space."
Easy,"What is the main source of energy for Earth?","The Sun is the main source of energy for Earth. It provides light and heat that drives weather patterns, ocean currents, and supports all life."
Easy,"What do we call water that falls from clouds?","Precipitation is water that falls from clouds. It can be in the form of rain, snow, sleet, or hail depending on temperature conditions."
Easy,"What part of the flower attracts insects?","Petals attract insects to flowers. They are often brightly colored and may have sweet scents to draw pollinators like bees and butterflies."
Easy,"What is the force that pulls objects toward Earth?","Gravity is the force that pulls objects toward Earth. It keeps us on the ground and causes objects to fall when dropped."
Easy,"What do we call animals that hunt other animals for food?","Predators are animals that hunt other animals for food. Examples include lions, hawks, and sharks that actively pursue and capture prey."
Easy,"What is the basic building block of all living things?","Cells are the basic building blocks of all living things. Every organism is made up of one or more cells that carry out life processes."
Easy,"What gas do animals breathe out?","Animals breathe out carbon dioxide. This waste gas is produced when cells use oxygen to break down food for energy."
Easy,"What is the hottest planet in our solar system?","Venus is the hottest planet in our solar system. Its thick atmosphere traps heat, making surface temperatures hotter than Mercury despite being farther from the Sun."
Easy,"What do we call young plants that grow from seeds?","Seedlings are young plants that grow from seeds. They develop their first leaves and roots as they begin independent growth."
Easy,"What is the imaginary line around the middle of Earth called?","The equator is the imaginary line around the middle of Earth. It divides the planet into Northern and Southern hemispheres."
Easy,"What do we call the process when water changes from liquid to gas?","Evaporation is the process when water changes from liquid to gas. Heat energy causes water molecules to move faster and escape into the air as water vapor."
Easy,"What is the closest star to Earth?","The Sun is the closest star to Earth. It's about 93 million miles away and provides the light and heat necessary for life on our planet."
